"","date","r_t_most_likely","r_t_lo","r_t_hi"
"1",2020-03-18,3.77,0,7.43
"2",2020-03-19,2.15,0,5.01
"3",2020-03-20,2.34,0.05,4.51
"4",2020-03-21,2.27,0.09,4.1
"5",2020-03-22,1.88,0.09,3.49
"6",2020-03-23,1.88,0.18,3.33
"7",2020-03-24,1.84,0.23,3.15
"8",2020-03-25,1.92,0.43,3.15
"9",2020-03-26,1.91,0.62,3.12
"10",2020-03-27,1.78,0.62,2.82
"11",2020-03-28,1.62,0.57,2.64
"12",2020-03-29,1.57,0.56,2.48
"13",2020-03-30,1.41,0.47,2.32
"14",2020-03-31,1.24,0.32,2.1
"15",2020-04-01,1.16,0.22,1.99
"16",2020-04-02,1.09,0.15,1.86
"17",2020-04-03,1.08,0.14,1.87
"18",2020-04-04,1.07,0.1,1.86
"19",2020-04-05,1.06,0.14,1.9
"20",2020-04-06,1.11,0.11,1.87
"21",2020-04-07,1.15,0.17,1.94
"22",2020-04-08,1.18,0.31,2.05
"23",2020-04-09,1.1,0.22,1.92
"24",2020-04-10,0.99,0.11,1.78
"25",2020-04-11,0.89,0.04,1.65
"26",2020-04-12,0.78,0,1.53
"27",2020-04-13,0.78,0,1.56
"28",2020-04-14,0.78,0,1.57
"29",2020-04-15,0.85,0,1.67
"30",2020-04-16,0.86,0,1.69
"31",2020-04-17,0.78,0,1.64
"32",2020-04-18,0.47,0,1.48
"33",2020-04-19,0.32,0,1.45
"34",2020-04-20,0.28,0,1.4
"35",2020-04-21,0.29,0,1.45
"36",2020-04-22,0.3,0,1.47
"37",2020-04-23,0.31,0,1.49
"38",2020-04-24,0.32,0,1.51
"39",2020-04-25,0.39,0,1.66
"40",2020-04-26,0.54,0,1.75
"41",2020-04-27,0.71,0,1.83
"42",2020-04-28,0.74,0,1.83
"43",2020-04-29,0.64,0,1.74
"44",2020-04-30,0.66,0,1.74
"45",2020-05-01,0.68,0,1.75
"46",2020-05-02,0.69,0,1.75
"47",2020-05-03,0.7,0,1.76
"48",2020-05-04,0.58,0,1.69
"49",2020-05-05,0.59,0,1.7
"50",2020-05-06,0.59,0,1.71
"51",2020-05-07,0.6,0,1.73
"52",2020-05-08,0.61,0,1.75
"53",2020-05-09,0.62,0,1.76
"54",2020-05-10,0.62,0,1.76
"55",2020-05-11,0.78,0,1.9
"56",2020-05-12,0.91,0,1.95
"57",2020-05-13,1.12,0.02,2.12
"58",2020-05-14,1.1,0.02,2.07
"59",2020-05-15,0.91,0,1.85
"60",2020-05-16,0.82,0,1.78
"61",2020-05-17,0.72,0,1.71
"62",2020-05-18,0.72,0,1.74
"63",2020-05-19,0.72,0,1.74
"64",2020-05-20,0.72,0,1.77
"65",2020-05-21,0.84,0,1.86
"66",2020-05-22,0.84,0,1.86
"67",2020-05-23,0.95,0,1.94
"68",2020-05-24,1.05,0.06,2.07
"69",2020-05-25,1.12,0.05,2.09
"70",2020-05-26,1.11,0.08,2.05
"71",2020-05-27,1.01,0.04,1.92
"72",2020-05-28,1.01,0.05,1.94
"73",2020-05-29,1,0.07,1.92
"74",2020-05-30,1.07,0.03,1.95
"75",2020-05-31,1.06,0.07,1.95
"76",2020-06-01,0.98,0.02,1.82
"77",2020-06-02,0.91,0,1.75
"78",2020-06-03,0.91,0,1.77
"79",2020-06-04,0.98,0.07,1.89
"80",2020-06-05,1.12,0.09,2.03
"81",2020-06-06,1.17,0.12,2.06
"82",2020-06-07,1.21,0.21,2.11
"83",2020-06-08,1.24,0.24,2.11
"84",2020-06-09,1.31,0.39,2.19
"85",2020-06-10,1.41,0.51,2.25
"86",2020-06-11,1.52,0.7,2.34
"87",2020-06-12,1.61,0.81,2.36
"88",2020-06-13,1.68,0.93,2.36
"89",2020-06-14,1.6,0.91,2.24
"90",2020-06-15,1.38,0.73,2
"91",2020-06-16,1.12,0.48,1.75
"92",2020-06-17,1.07,0.4,1.69
"93",2020-06-18,1.17,0.49,1.78
"94",2020-06-19,1.19,0.57,1.82
"95",2020-06-20,1.1,0.43,1.7
"96",2020-06-21,0.95,0.27,1.57
"97",2020-06-22,0.9,0.25,1.53
"98",2020-06-23,1.03,0.35,1.67
"99",2020-06-24,1.31,0.62,1.92
"100",2020-06-25,1.42,0.8,2.05
"101",2020-06-26,1.36,0.77,1.95
"102",2020-06-27,1.21,0.64,1.82
"103",2020-06-28,1.18,0.58,1.72
"104",2020-06-29,1.23,0.63,1.77
"105",2020-06-30,1.24,0.67,1.78
"106",2020-07-01,1.35,0.78,1.86
"107",2020-07-02,1.6,1.07,2.09
"108",2020-07-03,1.67,1.15,2.12
"109",2020-07-04,1.46,1.01,1.92
"110",2020-07-05,1.15,0.72,1.61
"111",2020-07-06,1.05,0.56,1.47
"112",2020-07-07,1.19,0.74,1.67
"113",2020-07-08,1.52,1.07,1.94
"114",2020-07-09,1.61,1.16,1.98
"115",2020-07-10,1.44,1.04,1.82
"116",2020-07-11,1.33,0.94,1.7
"117",2020-07-12,1.39,1.03,1.77
"118",2020-07-13,1.38,0.98,1.71
"119",2020-07-14,1.19,0.81,1.52
"120",2020-07-15,0.92,0.55,1.28
"121",2020-07-16,0.81,0.42,1.17
"122",2020-07-17,0.86,0.44,1.22
"123",2020-07-18,0.92,0.53,1.31
"124",2020-07-19,0.84,0.42,1.2
"125",2020-07-20,0.71,0.29,1.09
"126",2020-07-21,0.66,0.2,1.03
"127",2020-07-22,0.78,0.34,1.19
"128",2020-07-23,0.98,0.56,1.41
"129",2020-07-24,1.03,0.6,1.42
"130",2020-07-25,0.94,0.53,1.35
"131",2020-07-26,0.83,0.42,1.25
"132",2020-07-27,0.81,0.36,1.21
"133",2020-07-28,0.86,0.4,1.27
"134",2020-07-29,0.95,0.48,1.34
"135",2020-07-30,1.09,0.64,1.5
