"","state","date","r_t_most_likely","r_t_lo","r_t_hi"
"1","AL",2020-03-15,1.82,0,3.46
"2","AL",2020-03-16,1.78,0.04,2.86
"3","AL",2020-03-17,1.75,0.12,2.72
"4","AL",2020-03-18,1.72,0.33,2.68
"5","AL",2020-03-19,1.69,0.59,2.65
"6","AL",2020-03-20,1.67,0.8,2.57
"7","AL",2020-03-21,1.64,0.8,2.44
"8","AL",2020-03-22,1.61,0.88,2.36
"9","AL",2020-03-23,1.58,1.12,2.48
"10","AL",2020-03-24,1.56,1.56,2.75
"11","AL",2020-03-25,1.53,1.8,2.82
"12","AL",2020-03-26,1.51,1.66,2.56
"13","AL",2020-03-27,1.48,1.28,2.11
"14","AL",2020-03-28,1.46,0.92,1.73
"15","AL",2020-03-29,1.44,0.67,1.51
"16","AL",2020-03-30,1.41,0.59,1.44
"17","AL",2020-03-31,1.39,0.7,1.57
"18","AL",2020-04-01,1.37,0.89,1.73
"19","AL",2020-04-02,1.35,1.04,1.85
"20","AL",2020-04-03,1.33,1.08,1.85
"21","AL",2020-04-04,1.31,0.99,1.73
"22","AL",2020-04-05,1.29,0.89,1.61
"23","AL",2020-04-06,1.28,0.85,1.57
"24","AL",2020-04-07,1.26,0.98,1.67
"25","AL",2020-04-08,1.24,1.08,1.75
"26","AL",2020-04-09,1.23,1.08,1.72
"27","AL",2020-04-10,1.21,0.87,1.5
"28","AL",2020-04-11,1.2,0.72,1.35
"29","AL",2020-04-12,1.18,0.61,1.25
"30","AL",2020-04-13,1.17,0.49,1.16
"31","AL",2020-04-14,1.15,0.43,1.11
"32","AL",2020-04-15,1.14,0.47,1.16
"33","AL",2020-04-16,1.13,0.47,1.17
"34","AL",2020-04-17,1.12,0.44,1.16
"35","AL",2020-04-18,1.11,0.39,1.11
"36","AL",2020-04-19,1.1,0.49,1.22
"37","AL",2020-04-20,1.09,0.68,1.41
"38","AL",2020-04-21,1.08,0.81,1.52
"39","AL",2020-04-22,1.07,0.86,1.54
"40","AL",2020-04-23,1.06,0.72,1.41
"41","AL",2020-04-24,1.06,0.59,1.27
"42","AL",2020-04-25,1.05,0.54,1.24
"43","AL",2020-04-26,1.05,0.57,1.27
"44","AL",2020-04-27,1.04,0.54,1.25
"45","AL",2020-04-28,1.04,0.53,1.24
"46","AL",2020-04-29,1.04,0.48,1.2
"47","AL",2020-04-30,1.03,0.57,1.29
"48","AL",2020-05-01,1.03,0.8,1.51
"49","AL",2020-05-02,1.03,1,1.69
"50","AL",2020-05-03,1.03,1.1,1.75
"51","AL",2020-05-04,1.03,0.99,1.62
"52","AL",2020-05-05,1.02,0.87,1.49
"53","AL",2020-05-06,1.02,0.83,1.46
"54","AL",2020-05-07,1.02,0.84,1.45
"55","AL",2020-05-08,1.03,0.8,1.41
"56","AL",2020-05-09,1.03,0.62,1.24
"57","AL",2020-05-10,1.03,0.51,1.13
"58","AL",2020-05-11,1.04,0.53,1.18
"59","AL",2020-05-12,1.04,0.69,1.33
"60","AL",2020-05-13,1.05,0.8,1.42
"61","AL",2020-05-14,1.05,0.79,1.41
"62","AL",2020-05-15,1.06,0.67,1.29
"63","AL",2020-05-16,1.06,0.6,1.23
"64","AL",2020-05-17,1.07,0.65,1.28
"65","AL",2020-05-18,1.07,0.74,1.36
"66","AL",2020-05-19,1.08,0.86,1.46
"67","AL",2020-05-20,1.08,0.97,1.56
"68","AL",2020-05-21,1.09,0.99,1.56
"69","AL",2020-05-22,1.09,0.91,1.47
"70","AL",2020-05-23,1.09,0.87,1.43
"71","AL",2020-05-24,1.09,0.89,1.44
"72","AL",2020-05-25,1.09,0.98,1.52
"73","AL",2020-05-26,1.09,1,1.52
"74","AL",2020-05-27,1.09,0.89,1.41
"75","AL",2020-05-28,1.09,0.77,1.29
"76","AL",2020-05-29,1.09,0.78,1.29
"77","AL",2020-05-30,1.09,0.77,1.27
"78","AL",2020-05-31,1.09,0.64,1.16
"79","AL",2020-06-01,1.09,0.36,0.9
"80","AL",2020-06-02,1.09,0.11,0.67
"81","AL",2020-06-03,1.09,0.11,0.71
"82","AL",2020-06-04,1.09,0.46,1.09
"83","AL",2020-06-05,1.09,1.03,1.62
"84","AL",2020-06-06,1.09,1.27,1.81
"85","AL",2020-06-07,1.09,1.1,1.63
"86","AL",2020-06-08,1.09,0.96,1.48
"87","AL",2020-06-09,1.09,1.06,1.57
"88","AL",2020-06-10,1.09,1.25,1.73
"89","AL",2020-06-11,1.1,1.38,1.83
"90","AL",2020-06-12,1.1,1.26,1.69
"91","AL",2020-06-13,1.1,1.04,1.46
"92","AL",2020-06-14,1.1,0.77,1.19
"93","AL",2020-06-15,1.1,0.48,0.92
"94","AL",2020-06-16,1.11,0.39,0.85
"95","AL",2020-06-17,1.11,0.55,1.02
"96","AL",2020-06-18,1.11,0.77,1.24
"97","AL",2020-06-19,1.11,0.73,1.2
"98","AL",2020-06-20,1.11,0.5,0.98
"99","AL",2020-06-21,1.11,0.45,0.94
"100","AL",2020-06-22,1.12,0.74,1.23
"101","AL",2020-06-23,1.12,1.21,1.69
"102","AL",2020-06-24,1.12,1.45,1.88
"103","AL",2020-06-25,1.12,1.26,1.67
"104","AL",2020-06-26,1.11,0.93,1.34
"105","AL",2020-06-27,1.11,0.75,1.16
"106","AL",2020-06-28,1.11,0.86,1.28
"107","AL",2020-06-29,1.11,1.03,1.44
"108","AL",2020-06-30,1.11,1.02,1.41
"109","AL",2020-07-01,1.1,0.96,1.35
"110","AL",2020-07-02,1.1,1.07,1.44
"111","AL",2020-07-03,1.1,0.97,1.34
"112","AL",2020-07-04,1.1,0.73,1.1
"113","AL",2020-07-05,1.1,0.51,0.9
"114","AL",2020-07-06,1.09,0.61,1.01
"115","AL",2020-07-07,1.09,0.97,1.36
"116","AL",2020-07-08,1.09,1.32,1.69
"117","AL",2020-07-09,1.08,1.33,1.67
"118","AL",2020-07-10,1.08,1.08,1.41
"119","AL",2020-07-11,1.08,0.93,1.26
"120","AL",2020-07-12,1.07,0.98,1.31
"121","AL",2020-07-13,1.07,1.02,1.34
"122","AL",2020-07-14,1.06,0.99,1.31
"123","AL",2020-07-15,1.06,0.98,1.29
"124","AL",2020-07-16,1.05,0.97,1.28
"125","AL",2020-07-17,1.05,0.93,1.24
"126","AL",2020-07-18,1.04,0.82,1.13
"127","AL",2020-07-19,1.04,0.69,1
"128","AL",2020-07-20,1.03,0.64,0.96
"129","AL",2020-07-21,1.02,0.68,1.01
"130","AL",2020-07-22,1.02,0.89,1.22
"131","AL",2020-07-23,1.01,1.03,1.34
"132","AL",2020-07-24,1,0.91,1.21
"133","AL",2020-07-25,1,0.67,0.99
"134","AL",2020-07-26,0.99,0.53,0.86
"135","AL",2020-07-27,0.98,0.54,0.89
"136","AL",2020-07-28,0.98,0.7,1.04
"137","AL",2020-07-29,0.97,0.87,1.21
"138","AL",2020-07-30,0.96,1.03,1.36
